"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-03-31,"Timmonsville","SC","Florence","Florence",3472,82300,0.00243605359317905,0.0135467980295567,0.0871862615587847,0.016859127169601,0.0290610394869921,2883,"2014-03","2014-Q1",82300,0,"2014-03"
2014-03-31,"Rendon","TX","Dallas-Fort Worth","Tarrant",3473,182500,-0.00218698742482231,0.0116407982261641,0.0798816568047337,0.0135770498909529,0.0172569210827287,3375,"2014-02","2014-Q1",182900,-0.00218698742482231,"2014-02"
2014-03-31,"Key Biscayne","FL","Miami-Fort Lauderdale","Miami-Dade",3474,1031300,0.0276006377042646,0.0737116085372202,0.208460276540895,0.103803217929475,0.0668791154859787,6402,"2014-03","2014-Q1",1031300,0,"2014-03"
2014-03-31,"La Homa","TX","McAllen","Hidalgo",3475,93700,-0.00319148936170213,-0.0592369477911647,-0.0167890870933893,,,2007,"2010-09","2010-Q3",114200,-0.179509632224168,"2010-02"
2014-03-31,"Fort Myers Beach","FL","Fort Myers","Lee",3476,350700,0.00804828973843058,0.0135838150289017,0.0591966173361522,0.00782211717089343,-0.00921058554590426,9260,"2006-05","2006-Q2",542500,-0.353548387096774,"2003-04"
2014-03-31,"Blue Ash","OH","Cincinnati","Hamilton",3477,179300,0.00111669458403127,0.0107102593010147,0.0460910151691949,0.0122622506087804,0.00439906696750247,4274,"2006-05","2006-Q2",189100,-0.0518244315177155,"2004-11"
2014-03-31,"Fallston","MD","Baltimore","Harford",3478,344500,-0.00144927536231884,0.00878477306002928,0.0385890865239674,-0.00429815341367068,0.014810205793212,4139,"2006-07","2006-Q3",410000,-0.159756097560976,"2005-01"
2014-03-31,"Cedar Lake","IN","Chicago","Lake",3479,167300,0.00359928014397121,0.0201219512195122,0.058191018342821,0.0244032744245861,,5595,"2014-03","2014-Q1",167300,0,"2014-03"
2014-03-31,"Upper Dublin","PA","Philadelphia","Montgomery",3480,324200,0.00154464009885697,0.00247371675943105,0.0364450127877238,-0.00534205633194651,0.00792245362861776,3937,"2006-03","2006-Q1",354700,-0.0859881590076121,"2004-12"
2014-03-31,"Middle Valley","TN","Chattanooga","Hamilton",3481,138200,-0.00288600288600289,-0.00432276657060519,-0.0226308345120226,0,0.0114734712222,4444,"2012-12","2012-Q4",142900,-0.032890132960112,"2012-07"
2014-03-31,"Riverview","MI","Detroit","Wayne",3482,126000,-0.00237529691211401,0.00961538461538462,0.119005328596803,0.0187924817829905,-0.0299630713539898,3794,"2004-10","2004-Q4",174700,-0.278763594733829,"1997-04"
2014-03-31,"North Fayette Township","PA","Pittsburgh","Allegheny",3483,154500,0,0.00651465798045603,0.0383064516129032,0.0213691515404435,0.0195534721841935,3185,"2014-03","2014-Q1",154500,0,"2014-03"
2014-03-31,"Sweetwater","FL","Miami-Fort Lauderdale","Miami-Dade",3484,150000,0.0231923601637108,0.0608203677510608,0.211631663974152,-0.0134405874079206,-0.00599733603310348,2204,"2007-01","2007-Q1",265600,-0.435240963855422,"2003-11"
2014-03-31,"Four Oaks","NC","Raleigh","Johnston",3485,121200,0.000825763831544178,-0.000824402308326463,0.0323679727427598,-0.00391401447722806,0.00919420788471714,3226,"2009-11","2009-Q4",127200,-0.0471698113207547,"2006-08"
2014-03-31,"Greentree","NJ","Philadelphia","Camden",3486,264700,0,0.0145649674204676,0.0404874213836478,-0.028327037638003,-0.00510492058856915,3749,"2006-06","2006-Q2",349300,-0.242198683080447,"2003-08"
2014-03-31,"North Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",3487,208800,0.00336376741950985,0.00240038406144983,0.131707317073171,0.00505665621607942,-0.00717943559524792,6751,"2006-01","2006-Q1",365500,-0.428727770177839,"2003-10"
2014-03-31,"Hueytown","AL","Birmingham","Jefferson",3488,82500,-0.0131578947368421,-0.025974025974026,-0.052812858783008,-0.0336504442198853,-0.00788903636921234,6198,"2007-09","2007-Q3",103400,-0.202127659574468,"2001-10"
2014-03-31,"Lumberton","NJ","Philadelphia","Burlington",3489,252900,0.00317334391114637,0.000791452314998021,0.0608221476510067,-0.0186768222493021,-0.00451229865218483,3883,"2006-01","2006-Q1",322400,-0.215570719602978,"2003-12"
2014-03-31,"South Daytona","FL","Daytona Beach","Volusia",3490,99300,0.00506072874493927,0.0226570545829042,0.108258928571429,-0.0287616019591537,-0.0188382162163611,4270,"2006-02","2006-Q1",197600,-0.49746963562753,"2002-12"
2014-03-31,"Cornelius","OR","Portland","Washington",3491,194600,0.00257599175682638,0.0193818753273965,0.140011716461629,-0.00446174769189878,0.0199615305655105,2953,"2007-06","2007-Q2",235200,-0.172619047619048,"2005-11"
2014-03-31,"Aberdeen","NC","Southern Pines","Moore",3492,133800,0,-0.000746825989544436,0.0045045045045045,-0.00500614081855744,0.0201512262316474,2428,"2009-05","2009-Q2",138200,-0.0318379160636758,"2007-05"
2014-03-31,"Pedley","CA","Riverside","Riverside",3493,291200,0.00726392251815981,0.0304317055909413,0.262245340268747,0.0378796933107439,0.00107084036376492,3138,"2006-07","2006-Q3",456800,-0.362521891418564,"2004-04"
2014-03-31,"Holly Hill","FL","Daytona Beach","Volusia",3494,79900,0.0139593908629442,0.0471821756225426,0.206948640483384,-0.0436953704925029,-0.0279622319759688,4287,"2006-08","2006-Q3",169900,-0.529723366686286,"2003-01"
2014-03-31,"Princess Anne","MD","Salisbury","Somerset",3495,96600,0.0072992700729927,0.0168421052631579,0.0443243243243243,-0.0534004031430317,0.0134726701000814,3086,"2008-04","2008-Q2",136600,-0.292825768667643,"2004-08"
2014-03-31,"Woodmere","NY","New York","Nassau",3496,576600,0.00400487550060944,-0.00483258543320677,0.00768961901433065,-0.0091764831292398,0.00138052513786557,3382,"2005-12","2005-Q4",694300,-0.169523260838254,"2004-06"
2014-03-31,"Junction City","OR","Eugene","Lane",3497,211200,-0.00141843971631206,-0.00377358490566038,-0.000946073793755913,-0.0175926073838023,0.0244975844534201,2119,"2008-01","2008-Q1",242400,-0.128712871287129,"2005-12"
2014-03-31,"Port Neches","TX","Beaumont","Jefferson",3498,128200,-0.0046583850931677,-0.0236100533130236,0.0174603174603175,0.00109563574841753,0.0294539914109417,4773,"2010-04","2010-Q2",135100,-0.0510732790525537,"2010-01"
2014-03-31,"Anna","TX","Dallas-Fort Worth","Collin",3499,132700,-0.00150489089541008,0.000754147812971343,0.0607513988808953,0.0107367490286452,0.00511460500130223,3689,"2006-02","2006-Q1",143400,-0.0746164574616457,"2004-12"
2014-03-31,"Tahlequah","OK","Tahlequah","Cherokee",3500,81000,-0.00613496932515337,0,-0.122426868905742,0.0136262007036079,0.0194615618846656,3806,"2012-12","2012-Q4",96400,-0.159751037344398,"2010-09"
2014-03-31,"Red Bank","NJ","New York","Monmouth",3501,348300,0.00316820276497696,0.00839606253618993,0.069060773480663,-0.00592258251288624,0.00147616944288398,3411,"2006-10","2006-Q4",400300,-0.129902573070197,"2004-05"
2014-03-31,"Keystone Heights","FL","Jacksonville","Clay",3502,122800,-0.00081366965012205,-0.0040551500405515,0.05770887166236,-0.0410090730171088,0.0158797136098277,3545,"2006-11","2006-Q4",169500,-0.275516224188791,"2005-02"
2014-03-31,"Shawangunk","NY","Kingston","Ulster",3503,208300,0.00240615976900866,0.00579430226943506,-0.0038259206121473,-0.0422641494401116,-0.0126166205758507,2352,"2006-09","2006-Q3",282900,-0.263697419582892,"2003-09"
2014-03-31,"Canal Fulton","OH","Canton","Stark",3504,125100,0.00160128102481986,0.00320769847634322,0.0330305532617671,0,-0.00617955829660177,3629,"2006-09","2006-Q3",141500,-0.115901060070671,"2002-05"
2014-03-31,"Upper Township","NJ","Ocean City","Cape May",3505,257600,0.00350603817686015,0.0201980198019802,0.0446066504460665,-0.0163271642369165,-0.00142510140684182,4952,"2006-02","2006-Q1",329300,-0.217734588521105,"2004-02"
2014-03-31,"Red Oak","TX","Dallas-Fort Worth","Ellis",3506,126800,0.00316455696202532,0.00794912559618442,0.053156146179402,-0.00188207106219651,0.00403117207671166,3220,"2007-03","2007-Q1",148200,-0.144399460188934,"2004-07"
2014-03-31,"Plumstead Township","PA","Philadelphia","Bucks",3507,344600,0.00174418604651163,0.00466472303206997,0.0243757431629013,-0.0214189313933121,-0.00341718621750409,4440,"2005-11","2005-Q4",428500,-0.195799299883314,"2003-12"
2014-03-31,"Caledonia Township","MI","Grand Rapids","Kent",3508,207400,0.00241662638956017,0.013190034196385,0.0985169491525424,0.0150223464045509,0.00254242541681249,4053,"2006-07","2006-Q3",214100,-0.0312937879495563,"2004-09"
2014-03-31,"Hazel Dell North","WA","Portland","Clark",3509,215300,0.00232774674115456,0.0194128787878788,0.147654584221748,-0.0000928677579169479,0.0203013643335157,3351,"2007-03","2007-Q1",255900,-0.158655724892536,"2005-06"
2014-03-31,"Lincolnwood","IL","Chicago","Cook",3510,302400,-0.00263852242744063,-0.00493583415597236,0.115044247787611,-0.0286466755056555,-0.0179911568281192,4765,"2006-12","2006-Q4",477700,-0.366966715511828,"2001-06"
2014-03-31,"Portland","IN",,"Jay",3511,70500,0.00714285714285714,0.0100286532951289,0.0114777618364419,,,3481,"2005-07","2005-Q3",87500,-0.194285714285714,"2001-02"
2014-03-31,"Middlebury","IN","Elkhart","Elkhart",3512,165200,-0.00541842263696568,0.00793166564978645,0.0734243014944769,0.0219564002264983,0.0191918317147268,2689,"2014-02","2014-Q1",166100,-0.00541842263696568,"2014-01"
2014-03-31,"Erwin","TN","Johnson City","Unicoi",3513,79700,0.0127064803049555,0.0257400257400257,0.0843537414965986,,,5947,"2009-02","2009-Q1",85800,-0.0710955710955711,"2009-01"
2014-03-31,"Leicester","NC","Asheville","Buncombe",3514,198200,-0.00251635631605435,0.00354430379746835,-0.00551931761164074,-0.0156823542440224,0.0167291974834518,2312,"2007-06","2007-Q2",225700,-0.12184315463004,"2006-01"
2014-03-31,"Ringwood","NJ","New York","Passaic",3515,307100,0.0058958401572224,0.010862409479921,0.0678025034770515,-0.0252553102594847,-0.0207131547285399,4305,"2006-06","2006-Q2",414300,-0.258749698286266,"2003-01"
2014-03-31,"Sandwich","IL","Chicago","De Kalb",3516,164000,0.00551808706315144,0.0386320455984801,0.0810810810810811,-0.037270617314247,0.00203478287479375,3535,"2006-11","2006-Q4",202300,-0.189322787938705,"2004-04"
2014-03-31,"Mount Sinai","NY","New York","Suffolk",3517,376600,0.00212879191059074,0.0120935232464391,0.0496098104793757,-0.0184736374778901,-0.00382176967727643,3969,"2007-06","2007-Q2",477000,-0.210482180293501,"2004-01"
2014-03-31,"Windsor Locks","CT","Hartford","Hartford",3518,160000,-0.00124843945068664,-0.0153846153846154,-0.0147783251231527,-0.0311198034575922,-0.00289099519668801,4478,"2006-08","2006-Q3",211700,-0.244213509683514,"2003-12"
2014-03-31,"Sausalito","CA","San Francisco","Marin",3519,1002900,-0.00357675111773472,0.0027997200279972,0.120558659217877,0.0309336658268831,0.0257703413931067,2753,"2006-02","2006-Q1",1048200,-0.0432169433314253,"2005-10"
2014-03-31,"Williston","FL",,"Levy",3520,92600,0.0131291028446389,0.0288888888888889,0.00871459694989107,-0.0635728352645948,0.000759099199123536,2293,"2006-10","2006-Q4",156200,-0.407170294494238,"2004-06"
