"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-02-28,"Mission Viejo","CO","Denver","Arapahoe","Aurora",1659,193700,-0.00462487153134635,-0.00308800823468863,0.085762331838565,0.0361335924304078,0.00051773347699835,2551,"2005-02","2005-Q1",195700,-0.0102197240674502,"2004-10","2011-11","2011-Q4",153300,-0.216658150229944
2014-02-28,"Crescent Hill","KY","Louisville/Jefferson County","Jefferson","Louisville",1660,198900,-0.00300751879699248,-0.00400600901352028,0.0642054574638844,0.0435752756794854,0.0328261591703378,2440,"2013-12","2013-Q4",199800,-0.0045045045045045,"2013-10","2014-02","2014-Q1",198900,-0.0045045045045045
2014-02-28,"East Queen Anne","WA","Seattle","King","Seattle",1661,606900,0.00780471604118233,0.0218892069371948,0.0580543933054393,0.0139085341498926,0.0328460511368112,2504,"2007-12","2007-Q4",650400,-0.0668819188191882,"2006-06","2012-02","2012-Q1",513300,-0.210793357933579
2014-02-28,"Fitzgerald","MI","Detroit","Wayne","Detroit",1662,40700,-0.00488997555012225,0.00992555831265509,0.115068493150685,-0.0798431806893671,-0.0584127707319817,3263,"1996-11","1996-Q4",81700,-0.501835985312117,,"2011-09","2011-Q3",33000,-0.596083231334149
2014-02-28,"Taylor Berry","KY","Louisville/Jefferson County","Jefferson","Louisville",1663,54500,-0.0036563071297989,-0.00909090909090909,0.0167910447761194,-0.0127115099483812,-0.0107164647696961,2546,"2005-10","2005-Q4",61800,-0.118122977346278,"1999-12","2012-08","2012-Q3",50900,-0.176375404530744
2014-02-28,"Dunning","IL","Chicago","Cook","Chicago",1664,196100,0.0066735112936345,0.00926402470406588,0.16379821958457,-0.0474067122975562,-0.0251546886066693,2270,"2007-03","2007-Q1",326200,-0.39883507050889,"2001-03","2012-03","2012-Q1",151400,-0.535867565910484
2014-02-28,"Northeast Bakersfield","CA","Bakersfield","Kern","Bakersfield",1665,165300,-0.00301568154402895,-0.00421686746987952,0.18664752333094,0.00170255151331267,0.00645442942223329,1743,"2006-02","2006-Q1",286900,-0.423841059602649,"2004-05","2011-09","2011-Q3",111400,-0.611711397699547
2014-02-28,"Washington Park","CO","Denver","Denver","Denver",1666,573600,0.00349895031490553,0.0102148643888693,0.0689526649273202,0.0376152930668328,0.0386684696542823,3387,"2014-02","2014-Q1",573600,0,"2014-02",,,,
2014-02-28,"Pelican Bay","FL","Naples","Collier","Naples",1667,654500,0.00537634408602151,0.0185185185185185,0.0480384307445957,0.0104984245847861,0.0107892607743147,6690,"2006-04","2006-Q2",873500,-0.250715512306812,"2004-11","2012-02","2012-Q1",587400,-0.327532913566113
2014-02-28,"North Division","WI","Milwaukee","Milwaukee","Milwaukee",1668,47400,0,0.0128205128205128,0.0580357142857143,-0.0491988434446152,0.00322088710922497,977,"2010-02","2010-Q1",63900,-0.258215962441315,"2005-03","2012-10","2012-Q4",42900,-0.328638497652582
2014-02-28,"Buena Vista","DC","Washington","District of Columbia","Washington",1669,208800,0.00675024108003857,0.0205278592375367,0.119571045576408,-0.0107551891343143,0.0512242915363352,812,"2007-10","2007-Q4",238900,-0.125994139807451,"2006-08","2011-02","2011-Q1",156800,-0.343658434491419
2014-02-28,"Newhallville","CT","New Haven","New Haven","New Haven",1670,108800,-0.0109090909090909,-0.0363153232949513,-0.0337477797513321,-0.0526687277950549,0.00667228419629295,534,"2007-11","2007-Q4",162300,-0.329636475662354,"2004-06","2012-04","2012-Q2",107400,-0.33826247689464
2014-02-28,"Annadale","NY","New York","Richmond","New York",1671,570900,0.00901378579003181,0.0346139905762958,0.0747364457831325,0.00275515462345477,0.016881353473057,1514,"2006-12","2006-Q4",621000,-0.0806763285024155,"2005-09","2013-02","2013-Q1",531200,-0.144605475040258
2014-02-28,"Homeacre-Lyndora","PA","Pittsburgh","Butler","Butler Township",1672,133900,0.00149588631264024,-0.00446096654275093,0.0551615445232466,0.0189558670481469,0.0179290215425205,1866,"2013-09","2013-Q3",135900,-0.0147167034584253,"2013-07","2014-01","2014-Q1",133700,-0.0161883738042678
